V,f,ap,D,work_material,tool_type,tool_material,coating,Ra,timp
-0.24966630315385513,1.5589610942017116,-1.5161432635682002,-1.1580983893876597,aluminum,CNMG,Carbura,TiN,4.79,25.42
1.7650565377881033,0.9180548665854522,0.5364529707006378,-1.1580983893876597,steel,CNMG,Cermet,None,4.264,19.01
1.0003375602799498,1.4723521445238386,-0.556207280323676,-0.25333402267855043,steel,endmill,Carbura,TiAlN,4.843,21.33
0.5340566250876023,1.3164560351036678,0.10124083681807217,2.008576894094223,aluminum,VNMG,Cermet,TiN,4.871,22.87
-1.0137771542385425,0.34643579871149127,1.4562630125233653,-0.7057162060331051,steel,CNMG,HSS,None,4.747,27.61
-1.0137771542385425,1.4030649847815402,-0.7784432635828584,1.1038125273851136,aluminum,drill,Carbura,TiN,5.19,26.41
-1.3561523306497474,-1.3337778250392422,-0.23211313807070147,0.19904816067600423,steel,VNMG,HSS,TiAlN,3.628,33.05
1.4695070959837593,-0.9873420263277506,0.9407989957972059,-0.7057162060331051,steel,VNMG,Cermet,TiN,3.282,23.1
0.5427224266219889,-1.4723521445238386,-0.8463487029120532,2.008576894094223,cast_iron,CNMG,HSS,TiN,2.529,26.09
0.9167201770534121,-0.5542972779383863,-1.3618127196382124,0.19904816067600423,cast_iron,endmill,HSS,TiN,3.054,23.7
-1.4873556065124784,-0.34643579871149155,-0.6395457740458694,-0.25333402267855043,steel,CNMG,Cermet,TiN,4.169,32.7
1.8322545075810657,-0.7275151772941321,-1.0778445188070347,-0.25333402267855043,steel,endmill,HSS,TiAlN,2.735,20.09
1.3515305698314073,1.091272765941198,1.5334282844883589,-1.1580983893876597,cast_iron,drill,HSS,TiN,4.829,20.41
-0.8167441930356465,-0.45036653832493884,1.1198224267559915,2.008576894094223,cast_iron,VNMG,Cermet,TiN,4.27,28.87
-0.923470380353882,-0.7101933873585574,0.5271931380648386,1.1038125273851136,cast_iron,drill,HSS,None,3.814,29.57
-0.9179972425426902,0.1558961094201713,1.3358851882579743,0.19904816067600423,aluminum,endmill,Cermet,TiN,4.683,29.88
-0.4953493782340093,-1.1605599256834964,1.1043893723629927,-0.7057162060331051,steel,endmill,HSS,None,3.289,30.07
0.27560289511466785,1.0046638162633252,-0.9914194142062417,2.008576894094223,cast_iron,drill,Cermet,TiAlN,4.332,24.39
-0.04883255180429825,-1.385743194845966,1.4068772384657693,2.008576894094223,steel,endmill,Cermet,TiAlN,3.383,29.5
-0.5409588599939389,1.62824825394401,0.20618560669046362,-0.25333402267855043,aluminum,drill,HSS,TiAlN,5.228,25.23
0.580274233270998,0.9180548665854522,1.116735815877392,-1.1580983893876597,aluminum,VNMG,HSS,TiAlN,4.936,23.36
-1.0715491644677866,-0.970020236392176,1.4192236819801682,-1.1580983893876597,cast_iron,drill,HSS,None,3.825,30.32
-0.5377661962707437,-1.6109264640084353,-0.543860836809277,0.19904816067600423,aluminum,VNMG,Carbura,TiN,2.894,30.25
-0.2782482450567443,1.056629186070049,-1.2506947280086214,-0.25333402267855043,steel,drill,Carbura,TiAlN,4.571,25.01
0.035544989451571724,0.6928715974229831,-0.849435313790653,2.008576894094223,cast_iron,endmill,Carbura,TiN,4.458,24.77
1.1862722142545956,0.779480547100856,-0.1734675313773064,1.1038125273851136,steel,drill,Cermet,None,4.081,21.46
-0.861137421948645,0.9180548665854522,1.153775146420589,-0.25333402267855043,steel,endmill,HSS,None,5.277,26.3
0.23881124649499147,-1.385743194845966,1.2988458577147772,0.19904816067600423,aluminum,drill,Cermet,None,3.309,29.5
0.5123161054487024,-0.45036653832493884,-1.5994817572903937,0.19904816067600423,aluminum,drill,Carbura,TiAlN,3.128,23.53
-1.3968968010219514,-1.2471688753613694,0.11050066945387144,-0.25333402267855043,aluminum,CNMG,HSS,TiN,3.611,30.71
0.5652231042902212,1.2125252954902204,-0.2074202510419034,0.19904816067600423,aluminum,endmill,Cermet,TiN,4.7,23.55
