V,f,ap,D,work_material,Ra,timp
193.635,0.1055,1.416,16,2,7.8478,14.7503
337.6786,0.2126,1.3644,10,0,40.1404,2.6247
282.9985,0.3119,3.6719,10,2,104.7469,2.1345
249.6646,0.2697,1.3734,20,2,40.2781,5.5966
139.0047,0.292,1.4518,16,0,54.5161,7.4274
138.9986,0.2476,3.1579,12,1,34.6929,6.5681
114.5209,0.2577,2.0741,20,0,34.6399,12.7685
316.544,0.3048,3.2185,16,2,60.7503,3.1247
250.2788,0.1249,0.7288,16,2,10.7649,9.643
277.0181,0.1968,2.2065,12,2,34.8553,4.1464
105.1461,0.1164,0.6176,20,0,7.253,30.7966
342.4775,0.3463,0.7193,16,2,77.084,2.5417
308.1107,0.3332,3.6725,16,2,73.204,2.9361
153.0848,0.0618,0.9874,16,0,2.1271,31.8481
145.4562,0.2617,2.3635,12,1,38.6366,5.9398
145.8511,0.3276,1.9388,20,1,36.5144,7.8866
176.0606,0.1042,1.7157,20,2,6.3518,20.5445
231.1891,0.2204,3.6494,20,0,23.0431,7.3954
207.9863,0.3246,0.5764,20,2,59.6363,5.5804
172.8073,0.0602,2.8233,10,0,3.6479,18.115
252.9632,0.2592,3.8719,10,0,63.2043,2.8731
134.8735,0.1392,2.4606,20,1,6.4805,20.0692
173.0362,0.3273,3.7789,12,1,59.5548,3.9917
191.5905,0.3413,0.6829,10,0,115.0338,2.881
214.0175,0.3333,1.9658,16,2,78.4654,4.2261
296.294,0.1923,1.4106,10,1,22.483,3.3072
149.9184,0.3086,3.0579,16,2,70.4817,6.5153
228.5586,0.3034,3.9345,20,1,29.4253,5.4344
248.1036,0.1457,1.3979,10,1,13.4044,5.2107
111.6126,0.2987,2.7896,12,2,90.4735,6.7819
251.8862,0.0611,1.1933,10,1,2.2477,12.2411
142.631,0.2289,2.4787,10,1,35.3996,5.7711
116.2629,0.119,2.1238,10,2,17.4134,13.6171
337.2214,0.0862,3.902,20,1,2.3513,12.967
341.408,0.0731,2.6298,12,1,2.4489,9.0605
302.0993,0.2589,1.7233,10,1,40.6149,2.4089
176.1534,0.152,0.8993,12,2,22.5285,8.4457
124.418,0.2674,1.0294,20,0,37.0485,11.3245
271.0583,0.0696,1.2886,16,2,3.3558,15.9767
210.0381,0.1446,1.3784,10,0,20.3149,6.2037
130.5096,0.2118,3.4772,12,1,25.9062,8.1771
223.7942,0.2872,2.4643,12,0,66.2579,3.5172
108.5971,0.1456,2.3319,20,2,12.8375,23.8262
327.3301,0.2378,0.9017,10,2,58.8884,2.4207
164.695,0.3158,3.5105,16,1,41.7625,5.7959
265.6306,0.2348,3.0299,12,0,42.9505,3.6254
177.9278,0.1199,0.7368,10,1,9.5689,8.8321
230.017,0.0573,2.9774,16,1,1.3874,22.863
236.6776,0.311,2.4024,12,2,89.6097,3.0712
146.2136,0.0564,0.786,12,0,2.4781,27.4248
342.3962,0.3124,2.1041,16,0,53.915,2.818
293.7832,0.2087,2.1964,16,0,24.9237,4.9169
334.8747,0.3317,1.0802,20,0,48.8399,3.392
323.7068,0.2896,3.8099,10,1,49.7003,2.0095
249.475,0.3494,3.4749,10,1,77.0918,2.1615
330.4686,0.1552,2.8416,20,2,12.4105,7.346
122.1231,0.2802,2.118,12,1,44.9883,6.6079
148.9957,0.1706,1.9412,16,1,12.3047,11.8604
111.3068,0.194,2.7784,16,2,28.4402,13.9624
181.3326,0.2383,2.409,16,2,41.1031,6.9773
197.1693,0.3121,0.718,12,2,92.9757,3.6739
167.8373,0.3452,2.2938,16,1,49.9424,5.2025
307.1844,0.2805,3.3224,16,1,29.8913,3.4986
189.1883,0.1753,2.1073,20,2,17.9313,11.3595
170.2336,0.1764,0.6818,12,2,29.9407,7.5284
235.674,0.2713,3.252,10,2,81.8536,2.9469
135.2311,0.1216,1.2048,20,1,4.7153,22.9078
300.5492,0.0831,1.4052,20,1,1.9169,15.079
118.6377,0.1564,1.0765,10,0,25.2631,10.1545
346.7217,0.1362,1.6558,20,1,5.4841,7.9807
293.0612,0.1389,3.1486,12,1,9.7268,5.5542
149.6789,0.1201,2.3179,16,1,6.0259,16.7711
101.3805,0.0626,1.2171,12,2,4.0276,35.6073
303.8654,0.0554,3.5724,10,1,1.5975,11.1992
276.7143,0.3463,3.5785,10,2,129.4863,1.966
282.2518,0.1783,3.547,20,0,14.5921,7.4859
292.8176,0.1653,1.3358,12,0,20.8044,4.6709
118.5112,0.2539,2.0793,12,2,65.0047,7.5136
189.6164,0.1155,3.9475,10,2,15.5842,8.6042
128.9673,0.335,3.202,12,2,112.4791,5.233
315.7759,0.2859,0.5951,10,1,48.8722,2.0868
255.8245,0.0768,0.7282,12,0,4.5884,11.5034
182.7245,0.1753,2.1238,12,2,29.5821,7.0591
115.8896,0.3137,3.6823,12,1,56.7321,6.218
177.7456,0.3334,2.3855,10,0,110.7179,3.179
181.2958,0.1902,2.2423,20,1,11.699,10.9261
282.4015,0.234,0.8692,12,0,42.2259,3.4209
259.3894,0.1001,2.7987,10,1,6.524,7.2552
321.8032,0.3474,3.3774,10,0,107.9118,1.6855
218.0537,0.1195,1.8315,12,0,11.4687,8.6761
129.8986,0.3328,3.2146,12,1,63.3508,5.2294
278.3112,0.2449,3.8757,20,2,32.5197,5.5284
290.1963,0.2323,1.2132,10,0,49.4372,2.7945
240.3193,0.2038,2.3317,10,2,46.2631,3.8466
292.7418,0.1192,1.505,16,1,5.4909,8.6385
223.4489,0.103,3.275,10,2,12.2711,8.1892
230.6832,0.1161,2.5216,20,2,7.4934,14.0634
206.8853,0.1059,2.721,16,2,7.6828,13.7545
106.3548,0.2839,3.2927,16,2,61.2217,9.9843
126.9729,0.155,1.8859,16,2,18.0739,15.3127
107.8573,0.0674,3.7028,12,0,4.1027,31.1212
259.1026,0.3407,2.3656,12,0,90.7124,2.5608
178.589,0.3151,1.0528,10,0,98.7781,3.3476
227.1427,0.3283,2.9356,16,1,43.2668,4.042
326.8916,0.3485,3.2764,20,2,62.9825,3.3078
162.3231,0.1022,1.6087,12,0,8.6624,13.6322
202.5957,0.1689,3.5001,20,1,9.1234,11.0134
288.8878,0.2775,3.6715,20,0,35.5068,4.7007
157.1995,0.2588,1.4692,12,0,56.6044,5.5569
119.245,0.0962,3.9423,12,2,9.0831,19.7146
172.4379,0.2947,0.9925,12,1,48.2099,4.4481
140.3053,0.1173,1.2071,12,2,13.8871,13.7332
332.4244,0.1171,1.1448,16,2,8.9385,7.7408
302.0301,0.2111,3.629,16,0,25.2305,4.728
258.3509,0.2279,2.79,16,2,35.3299,5.1201
317.8651,0.224,1.0324,16,1,18.9409,4.2331
300.918,0.0774,2.0411,10,2,6.4173,8.0841
146.6425,0.3132,2.6535,16,2,72.5649,6.5625
323.1397,0.1297,0.7921,12,2,14.7919,5.3951
234.8356,0.0889,3.5885,20,0,3.5323,18.0579
301.86,0.3166,3.3126,16,1,37.9244,3.1539
324.0228,0.3367,2.2682,10,0,101.2151,1.7269
179.5009,0.3086,3.8849,12,0,79.1755,4.0808
127.513,0.2929,1.9622,20,0,44.161,10.0903
156.9838,0.2466,3.9444,20,0,30.6667,9.7344
206.7769,0.2153,2.8377,16,0,28.0388,6.7724
304.5037,0.0761,2.7213,20,1,1.6543,16.2613
315.1826,0.1725,1.0808,16,2,19.3995,5.5432
101.738,0.1618,3.5867,16,0,17.0468,18.3114
227.6868,0.1279,1.9962,12,0,13.1015,7.7618
204.3528,0.267,1.0678,12,1,38.3346,4.1431
155.527,0.1988,0.5441,10,1,26.4044,6.0945
129.9663,0.0743,2.4591,12,2,5.5083,23.4078
184.4038,0.1161,2.3459,12,1,7.4329,10.564
335.7274,0.255,3.0177,16,2,41.9186,3.5214
180.8007,0.0728,3.6159,12,0,4.3862,17.1671
229.6977,0.3054,0.7779,16,0,55.8403,4.2976
275.7547,0.1985,3.0602,16,2,26.6417,5.5058
190.9074,0.1942,1.1559,12,1,20.7263,6.0988
342.9455,0.2277,3.5036,10,2,53.3007,2.4124
340.6118,0.2974,3.3667,10,1,51.8796,1.8598
162.9456,0.1543,2.3928,20,0,12.1188,14.9824
224.3121,0.2534,2.9858,20,1,20.6359,6.6289
175.2196,0.2197,1.6002,12,2,46.996,5.8723
171.2101,0.1301,2.1491,10,2,19.9675,8.4576
109.2217,0.3136,3.3757,16,0,63.9212,8.801
252.3911,0.2892,2.1074,20,1,26.1751,5.1617
225.6698,0.2475,1.7523,16,1,24.6834,5.3962
112.8697,0.3052,2.2297,20,1,32.0666,10.9392
169.6616,0.3102,3.3989,12,0,80.4928,4.2959
327.0665,0.2625,1.6732,10,1,40.884,2.1943
159.8905,0.3011,1.1082,20,2,53.4005,7.8266
136.2237,0.2592,2.992,10,1,45.8907,5.3349
222.3632,0.254,3.3909,16,0,38.6889,5.3362
346.4126,0.2356,0.8522,12,1,27.2147,2.7703
160.5138,0.2758,1.3396,10,1,51.516,4.2555
268.0339,0.0976,0.9969,12,2,8.5544,8.6438
290.4049,0.3143,1.7178,10,1,60.3083,2.0644
159.4094,0.3116,2.0762,16,2,70.9749,6.0695
282.0541,0.0588,3.1209,16,2,2.5265,18.1837
191.9458,0.2977,2.779,12,0,72.9525,3.9558
258.0765,0.0887,2.6732,16,2,5.1241,13.1741
258.3824,0.1505,1.7333,20,2,12.1046,9.6874
233.9437,0.2731,3.4451,10,0,71.0026,2.9493
122.5724,0.0982,2.1495,16,2,7.3729,25.0365
308.8256,0.2954,3.9269,20,0,39.5434,4.1305
180.195,0.2996,2.7195,12,1,49.4356,4.1872
146.6296,0.2022,0.9419,20,0,20.8805,12.7064
110.1938,0.0519,2.8666,12,2,2.7565,39.519
247.7232,0.1361,1.6379,12,0,14.559,6.705
269.3911,0.2351,2.9021,10,2,60.1964,2.975
104.147,0.3444,0.7437,10,1,82.5964,5.2532
228.0233,0.2395,1.1121,20,0,27.7262,6.8984
156.6239,0.1279,3.4951,10,1,10.9164,9.4018
261.2932,0.2402,1.2951,10,2,63.3459,3.0018
143.5916,0.212,3.4296,10,2,53.3034,6.1891
272.7344,0.284,1.4775,20,1,24.9179,4.8655
196.6838,0.0821,2.7501,16,0,4.1465,18.6689
334.1825,0.2783,2.9295,10,0,68.6391,2.0257
134.3802,0.2124,2.2943,10,2,54.0611,6.6013
185.2666,0.3389,1.5686,20,1,37.7202,6.0013
128.3684,0.1526,1.2443,16,1,9.9847,15.3921
331.1734,0.2398,0.6162,10,0,51.0889,2.3725
319.3348,0.3296,1.5638,12,0,81.0821,2.1479
164.4854,0.0808,2.7861,20,0,3.337,28.3678
264.996,0.3312,3.7841,10,1,68.1243,2.1468
304.3056,0.2564,3.5492,10,0,59.5612,2.415
238.8002,0.0704,3.1812,12,0,3.8169,13.4573
232.4126,0.1403,3.2596,12,2,18.269,6.9339
160.4631,0.2625,2.8274,20,0,34.9218,8.9472
123.2757,0.0702,1.411,20,0,2.7674,43.5376
324.3039,0.2247,3.6752,12,1,25.228,3.1031
325.1045,0.1538,2.8476,20,1,6.9641,7.5376
258.2754,0.2363,2.4615,12,2,51.1116,3.7048
184.7574,0.0637,0.8885,10,0,4.0395,16.0024
187.3024,0.3115,2.0647,12,2,93.2722,3.8754
281.4889,0.342,2.1113,12,1,59.9786,2.3481
324.2776,0.3407,3.526,16,2,75.8307,2.7287
321.7716,0.2749,2.4133,12,1,37.7687,2.5559
294.9689,0.089,1.8314,12,2,7.1508,8.6093
260.5079,0.2775,3.9188,16,2,52.6156,4.1701
121.035,0.0574,0.8875,20,0,1.71,54.2587
140.4072,0.0566,1.9789,16,2,2.4694,37.9063
324.6385,0.1471,0.6471,10,0,19.2351,3.9456
251.6073,0.1966,3.0897,16,0,22.9405,6.0941
102.2993,0.2811,3.7133,10,0,82.7158,6.5511
125.3679,0.255,1.4801,20,0,33.6166,11.787
265.8754,0.1838,3.5042,16,2,22.6537,6.1694
101.2654,0.1321,1.5228,16,1,7.5441,22.536
140.202,0.3491,3.6877,20,1,41.8321,7.6977
237.1834,0.1779,3.1389,10,1,20.2729,4.4661
272.9738,0.1854,3.3172,16,2,23.5166,5.9557
262.9903,0.0991,0.563,10,0,9.0889,7.2298
156.0673,0.2884,3.8698,16,1,35.0547,6.6962
